Time,axis_1_actual_position,axis_1_raw_position_resolver_motor,raw_position_1_ext
107111,237.72107349826427,16664608.0,1644
107209,237.72107349826427,16664608.0,1644
107309,237.72107349826427,16778563.0,1644
107411,237.72107349826427,16778563.0,1644
107510,237.72107349826427,16778563.0,1644
107610,237.72107349826427,16778563.0,1644
107710,237.72107349826427,16778563.0,1644
107809,239.40399080485793,16778563.0,1644
107910,239.40399080485793,16778563.0,1644
108011,239.40399080485793,16778563.0,1644
108110,239.40399080485793,16901397.0,1644
108210,239.40399080485793,16901397.0,1644
108310,239.40399080485793,16901397.0,1644
108410,239.40399080485793,16901397.0,1644
108509,239.40399080485793,16901397.0,1644
108612,241.36214410004882,16901397.0,1644
108709,241.36214410004882,16901397.0,1644
108810,241.36214410004882,17033389.0,1692
108909,241.36214410004882,17033389.0,1692
109011,241.36214410004882,17033389.0,1692
109109,241.36214410004882,17033389.0,1692
109210,241.36214410004882,17033389.0,1692
109311,243.02997084258848,17033389.0,1692
109411,243.02997084258848,17033389.0,1692
109510,243.02997084258848,17144208.0,1692
109610,243.02997084258848,17144208.0,1692
109710,243.02997084258848,17144208.0,1692
109810,243.02997084258848,17144208.0,1692
109911,243.02997084258848,17144208.0,1692
110009,243.02997084258848,17144208.0,1692
110112,243.02997084258848,17144208.0,1692
110210,244.6738769826531,17144208.0,1692
110311,244.6738769826531,17144208.0,1692
110410,244.6738769826531,17275517.0,1692
110510,244.6738769826531,17275517.0,1692
110609,244.6738769826531,17275517.0,1741
110710,244.6738769826531,17275517.0,1741
110809,244.6738769826531,17275517.0,1741
110910,246.61539232763582,17275517.0,1741
111010,246.61539232763582,17275517.0,1741
111110,246.61539232763582,17396702.0,1741
111211,246.61539232763582,17396702.0,1741
111311,246.61539232763582,17396702.0,1741
111411,246.61539232763582,17396702.0,1741
111510,246.61539232763582,17396702.0,1741
111610,248.20515414850763,17396702.0,1741
111710,248.20515414850763,17396702.0,1741
111810,248.20515414850763,17506446.0,1741
111910,248.20515414850763,17506446.0,1741
112010,248.20515414850763,17506446.0,1741
112110,248.20515414850763,17506446.0,1741
112210,248.20515414850763,17506446.0,1741
112309,249.69985819242217,17506446.0,1741
112409,249.69985819242217,17506446.0,1741
112510,249.69985819242217,17619166.0,1741
112610,249.69985819242217,17619166.0,1741
112711,249.69985819242217,17619166.0,1788
112812,249.69985819242217,17619166.0,1788
112910,251.5494957099755,17619166.0,1788
113013,251.5494957099755,17619166.0,1788
113110,251.5494957099755,17619166.0,1788
113210,251.5494957099755,17746058.0,1788
113310,251.5494957099755,17746058.0,1788
113410,251.5494957099755,17746058.0,1788
113510,251.5494957099755,17746058.0,1788
113611,251.5494957099755,17746058.0,1788
113710,252.8909659360172,17746058.0,1788
113809,252.8909659360172,17746058.0,1788
113909,252.8909659360172,17842257.0,1788
114009,252.8909659360172,17842257.0,1788
114111,252.8909659360172,17842257.0,1788
114212,252.8909659360172,17842257.0,1788
114310,252.8909659360172,17842257.0,1788
114409,254.58895961046161,17842257.0,1788
114510,254.58895961046161,17842257.0,1788
114609,254.58895961046161,17962985.0,1835
114709,254.58895961046161,17962985.0,1835
114810,254.58895961046161,17962985.0,1835
114910,254.58895961046161,17962985.0,1835
115010,254.58895961046161,17962985.0,1835
115111,256.43428148222716,17962985.0,1835
115211,256.43428148222716,17962985.0,1835
115309,256.43428148222716,18089393.0,1835
115412,256.43428148222716,18089393.0,1835
115510,256.43428148222716,18089393.0,1835
115610,256.43428148222716,18089393.0,1835
115709,256.43428148222716,18089393.0,1835
115810,257.83862669245997,18089393.0,1835
115911,257.83862669245997,18089393.0,1835
116010,257.83862669245997,18196357.0,1835
116109,257.83862669245997,18196357.0,1835
116210,257.83862669245997,18196357.0,1835
116309,257.83862669245997,18196357.0,1835
116410,257.83862669245997,18196357.0,1835
116510,259.51590810636367,18196357.0,1882
116609,259.51590810636367,18196357.0,1882
116710,259.51590810636367,18317561.0,1882
116810,259.51590810636367,18317561.0,1882
116911,259.51590810636367,18317561.0,1882
